phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
3761_irnt,"Age hay fever, rhinitis or eczema diagnosed",both_sexes,0.0698,0.0093,0.0698,0.0093,13.51,1.04,0.0081,0.2327 (0.0513),1.1,1.16,,288962,72232,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3761,"ACE touchscreen question ""What was your age when the hayfever, rhinitis or eczema was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F3761~ was collected from participants who indicated they were told by a doctor that they have had hayfever, allergic rhinitis or eczema, as defined by their answers to ~F6152~"
738,Average total household income before tax,both_sexes,0.0692,0.0037,0.0692,0.0037,77.63,1.12,0.0119,0.2038 (0.0195),1.49,1.61,,50166,311028,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=738,"ACE touchscreen question ""What is the average total income before tax received by your HOUSEHOLD?"" If the participant activated the Help button they were shown the message: If you are unsure of annual household income here are the weekly and monthly equivalents: Annual Monthly Weekly less than &pound;18,000 less than &pound;1,500 less than &pound;346 &pound;18,000 to &pound;29,999 &pound;1,500 to &pound;2,499 &pound;346 to &pound;576 &pound;30,000 to &pound;51,999 &pound;2,500 to &pound;4,333 &pound;577 to &pound;999 &pound;52,000 to &pound;100,000 &pound;4,334 to &pound;8,333 &pound;1000 to &pound;1,923 greater than &pound;100,000 greater than &pound;8,333 greater than &pound;1,923 ~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~"
400_irnt,Time to complete round,both_sexes,0.0682,0.0035,0.0682,0.0035,84.14,1.08,0.0123,0.1313 (0.0199),1.48,1.62,,6455,354739,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=400,
22506_114,Tobacco smoking: Never smoked,both_sexes,0.0676,0.0073,0.1085,0.0117,19.99,1.04,0.0078,0.2081 (0.0426),1.17,1.18,59.68,269841,91353,54520.0,36833.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506,"Participants asked ""Do you smoke tobacco now?"""
404_irnt,Duration to first press of snap-button in each round,both_sexes,0.0663,0.003,0.0663,0.003,107.8,1.09,0.0109,0.139 (0.0178),1.47,1.61,,2694,358500,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=404,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same. Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms."
20489,Felt loved as a child,both_sexes,0.066,0.0052,0.066,0.0052,36.49,1.02,0.0073,0.0946 (0.0383),1.17,1.19,,243570,117624,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20489,"Question asked: ""When I was growing up... I felt loved"""
4283,Number of rounds of numeric memory test performed,both_sexes,0.0657,0.012,0.0657,0.012,7.66,1.02,0.0065,0.3026 (0.0783),1.08,1.08,,323548,37646,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4283,Number of rounds of numeric memory test performed
3466,Time from waking to first cigarette,both_sexes,0.0652,0.0193,0.0652,0.0193,3.44,1.02,0.0069,0.3426 (0.1121),1.06,1.06,,335780,25414,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3466,"ACE touchscreen question ""How soon after waking do you smoke your first cigarette of the day?"" ~F3466~ was collected from participants who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~ and currently smoke manufactured or hand-rolled cigarettes, as defined by their answers to ~F1239~ Please note that the categories do not include a response for 15-30 minutes. This occurred due to an oversight during the design of the initial data collection process. However we have kept the response options the same during subsequent data collection exercises to maintain consistency for analytical purposes."
5116_irnt,3mm cylindrical power (right),both_sexes,0.0652,0.0078,0.0652,0.0078,16.5,1.02,0.0071,0.1605 (0.0501),1.12,1.14,,285784,75410,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5116,This is the cylindrical power of keratometry results taken at 3mm for the right eye (0 indicates none)
20414,Frequency of drinking alcohol,both_sexes,0.0649,0.0055,0.0649,0.0055,31.71,1.03,0.0078,0.1497 (0.0378),1.18,1.21,,243280,117914,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20414,"Question asked: ""How often do you have a drink containing alcohol?"""
924,Usual walking pace,both_sexes,0.0645,0.0029,0.0645,0.0029,109.17,1.08,0.0111,0.1376 (0.0188),1.46,1.59,,2220,358974,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=924,"ACE touchscreen question ""How would you describe your usual walking pace? "" If the participant activated the Help button they were shown the message: Slow pace is defined as less than 3 miles per hour. Steady average pace is defined as between 3-4 miles per hour. Fast pace is defined as more than 4 miles per hour. ~F924~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~"
2149,Lifetime number of sexual partners,both_sexes,0.0641,0.0034,0.0641,0.0034,78.86,1.07,0.0103,0.1413 (0.021),1.39,1.49,,64585,296609,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2149,"ACE touchscreen question ""About how many sexual partners have you had in your lifetime?"" The following checks were performed: If answer If answer > 99997 then rejected If answer > 99 then participant asked to confirm If the participant activated the Help button they were shown the message: Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know. ~F2149~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~"
20023_irnt,Mean time to correctly identify matches,both_sexes,0.0637,0.0031,0.0637,0.0031,93.4,1.1,0.0117,0.157 (0.0193),1.47,1.61,,2499,358695,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20023,"This field is the mean duration to first press of snap-button summed over rounds in which both cards matched. It gives a crude measure of the raw processing+reaction speed of a participant. The following data points were excluded when forming the average: Rounds 0-4 were regarded as ""training""; Times under 50ms must be due to anticipation rather than reaction; Times over 2000ms were ignored as the cards had disappeared by then. Values were rounded to the nearest whole number."
1558,Alcohol intake frequency.,both_sexes,0.0632,0.0035,0.0632,0.0035,72.46,1.11,0.0114,0.176 (0.0183),1.49,1.62,,468,360726,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1558,"ACE touchscreen question ""About how often do you drink alcohol?"" If the participant activated the Help button they were shown the message: If this varies a lot, please provide an average considering your intake over the last year "
4990,FI6 : conditional arithmetic,both_sexes,0.0624,0.0055,0.1066,0.0093,29.41,1.03,0.0069,0.178 (0.0366),1.18,1.19,68.45,259013,102181,69944.0,32237.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4990,"ACE touchscreen question ""If sixty is more than half of seventy-five, multiply twenty-three by three. If not subtract 15 from eighty-five. Is the answer?"". Part 6 of Fluid Intelligence test. Offered choice from 68, 69, 70, 71, 72."
1190,Nap during day,both_sexes,0.0623,0.0031,0.0623,0.0031,89.4,1.1,0.0111,0.164 (0.0179),1.47,1.62,,339,360855,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1190,"ACE touchscreen question ""Do you have a nap during the day?"" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks. "
4957,FI3 : word interpolation,both_sexes,0.0616,0.0054,0.1423,0.0124,29.72,1.03,0.0073,0.1644 (0.0364),1.17,1.2,84.54,244379,116815,98753.0,18062.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4957,"ACE touchscreen question ""Bud is to Flower as Child is to?"". Part 3 of Fluid Intelligence test. Offered choice from Grow, Develop, Improve, Adult and Old."
20453,Ever taken cannabis,both_sexes,0.0613,0.0052,0.0613,0.0052,31.65,1.03,0.0077,0.1708 (0.0386),1.18,1.2,,243283,117911,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20453,"Question asked: ""Have you taken CANNABIS (marijuana, grass, hash, ganja, blow, draw, skunk, weed, spliff, dope), even if it was a long time ago?"""
3710,Length of menstrual cycle,female,0.0612,0.0141,0.0612,0.0141,5.15,1.02,0.0063,0.2392 (0.0972),1.04,1.06,,161327,32847,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3710,"ACE touchscreen question ""How many days is your usual menstrual cycle? (The number of days between each menstrual period)"" The following checks were performed: If answer If answer > 365 then rejected If answer If answer > 60 then participant asked to confirm ~F3710~ was collected from women who indicated that their periods had not stopped (menopause), as defined by their answers to ~F2724~"
20128,Number of fluid intelligence questions attempted within time limit,both_sexes,0.0606,0.0062,0.0606,0.0062,22.14,1.04,0.0086,0.2082 (0.0405),1.18,1.21,,244063,117131,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20128,"Number of fluid intelligence questions attempted within time limit. As the questions were asked in a constant order, and it was not possible to skip any, this value also represents the highest numbered question that the participant attempted."
1980,Worrier / anxious feelings,both_sexes,0.06,0.0041,0.0952,0.0065,48.07,1.07,0.0091,0.1211 (0.0161),1.41,1.57,56.69,9361,351833,199463.0,152370.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1980,"ACE touchscreen question ""Are you a worrier?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
1518,Hot drink temperature,both_sexes,0.0595,0.003,0.0595,0.003,87.11,1.08,0.0095,0.1409 (0.0169),1.44,1.56,,3938,357256,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1518,"ACE touchscreen question ""How do you like your hot drinks? (Such as coffee or tea)"""
4548,Health satisfaction,both_sexes,0.0591,0.005,0.0591,0.005,31.81,1.03,0.0082,0.173 (0.0407),1.18,1.2,,241627,119567,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4548,"ACE touchscreen question ""In general how satisfied are you with your HEALTH?"""
20160,Ever smoked,both_sexes,0.0583,0.0029,0.094,0.0046,89.46,1.08,0.0109,0.1494 (0.0196),1.42,1.55,60.65,1443,359751,218191.0,141560.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20160,"Derived using variables ""Current tobacco smoking"" (~F1239~) and ""Past tobacco smoking"" (~F1249~). Individual classed as Eversmoker if Current tobacco smoking= most days (1) or occasionally (2) OR Past tobacco smoking= most days (1) or occasionally (2) or tried once or twice (3). Individual were classed as Neversmoker if Current tobacco smoking= no (0) AND Past tobacco smoking= never (4). Individuals who answered to either question ""Do not know"" (-1) ""Prefer not to answer"" (-3) and ""None of the above"" (-7) were not coded. This derived data field has come from Professor Martin Tobin at the University of Leicester."
20479,Ever thought that life not worth living,both_sexes,0.0579,0.0048,0.0579,0.0048,33.08,1.03,0.0068,0.1473 (0.0379),1.16,1.18,,243903,117291,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20479,"Question asked: ""Many people have thoughts that life is not worth living. Have you felt that way?"""
6177_1,"Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication",male,0.057,0.0054,0.1094,0.0105,25.62,1.06,0.0093,0.2185 (0.0326),1.2,1.28,23.02,1680,165340,38057.0,127283.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177,"ACE touchscreen question ""Do you regularly take any of the following medications? (you can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit. "
5983_irnt,"ECG, heart rate",both_sexes,0.0568,0.011000000000000001,0.0568,0.011000000000000001,6.92,1.04,0.0073,0.3405 (0.063),1.09,1.12,,307417,53777,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5983,"ECG, heart rate The Bike Test consists of many phases. A phase is generally divided into number of stages. At various points during the test, called trends, readings about heart rate, workload etc are recorded. This field contains heart rate (beats per minute) at the time of the trend entry"
22506_113,Tobacco smoking: Ex-smoker,both_sexes,0.0563,0.0069,0.0924,0.0113,15.77,1.03,0.0079,0.19 (0.0534),1.14,1.15,36.49,269841,91353,33335.0,58018.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506,"Participants asked ""Do you smoke tobacco now?"""
2237,Plays computer games,both_sexes,0.0561,0.0029,0.0561,0.0029,82.95,1.09,0.01,0.1693 (0.0184),1.44,1.55,,377,360817,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2237,"ACE touchscreen question ""Do you play computer games?"" If the participant activated the Help button they were shown the message: Answer this question thinking about the past year. "
3606,Chest pain or discomfort walking normally,both_sexes,0.0561,0.0073,0.1226,0.0159,14.12,1.01,0.0063,0.155 (0.0727),1.08,1.09,17.25,305457,55737,9617.0,46120.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3606,"ACE touchscreen question ""Do you get this pain or discomfort when you walk at an ordinary pace on the level?"" ~F3606~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~"
1050,Time spend outdoors in summer,both_sexes,0.0559,0.003,0.0559,0.003,77.06,1.08,0.0094,0.155 (0.0194),1.39,1.49,,33477,327717,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1050,"ACE touchscreen question ""In a typical DAY in summer, how many hours do you spend outdoors?"" The following checks were performed: If answer If answer > 24 then rejected If answer > 10 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend outdoors in summer varies a lot, give the average time per day. For example if you spend 1 hour a day on each weekday and 4 hours a day on the weekend, the total hours in a week is 13 (5 + 8), so you spend approximately 2 hours a day. "
2217_irnt,Age started wearing glasses or contact lenses,both_sexes,0.0554,0.0034,0.0554,0.0034,59.26,1.09,0.0098,0.1788 (0.0206),1.35,1.48,,50202,310992,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2217,"ACE touchscreen question ""What age did you first start to wear glasses or contact lenses?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F2217~ was collected from participants who indicated they wear glasses or contact lenses to correct their vision, as defined by their answers to ~F2207~"
20459,General happiness with own health,both_sexes,0.0551,0.0055,0.0551,0.0055,23.2,1.03,0.0082,0.1814 (0.0431),1.16,1.19,,243441,117753,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20459,"Question asked: ""In general how happy are you with your HEALTH?"""
30530_irnt,Sodium in urine,both_sexes,0.055,0.0028,0.055,0.0028,85.48,1.08,0.0091,0.1559 (0.0177),1.41,1.51,,11133,350061,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30530,Measured by ISE (ion selective electrode) analysis using Beckman Coulter AU5400.
1160,Sleep duration,both_sexes,0.0545,0.0033,0.0545,0.0033,60.85,1.08,0.0101,0.1554 (0.0193),1.4,1.52,,2174,359020,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1160,"ACE touchscreen question ""About how many hours sleep do you get in every 24 hours? (please include naps)"" The following checks were performed: If answer If answer > 23 then rejected If answer If answer > 12 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend sleeping varies a lot, give the average time for a 24 hour day in the last 4 weeks. "
1170,Getting up in morning,both_sexes,0.0544,0.0031,0.0544,0.0031,68.51,1.1,0.0109,0.1911 (0.0201),1.42,1.54,,963,360231,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1170,"ACE touchscreen question ""On an average day, how easy do you find getting up in the morning?"" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks. "
6152_100,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above",both_sexes,0.0541,0.0046,0.0919,0.0078,31.51,1.13,0.0127,0.2154 (0.0217),1.33,1.59,67.82,667,360527,244522.0,116005.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152,"ACE touchscreen question ""Has a doctor ever told you that you have had any of the following conditions? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you do not know if you have had any of the listed conditions, enter None of the above. You can check this with an interviewer later in the visit. "
1960,Fed-up feelings,both_sexes,0.0538,0.003,0.0864,0.0049,71.49,1.08,0.0106,0.1539 (0.0203),1.4,1.52,40.52,7430,353764,143332.0,210432.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1960,"ACE touchscreen question ""Do you often feel 'fed-up'?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
20441,Ever had prolonged loss of interest in normal activities,both_sexes,0.0534,0.0043,0.0861,0.006999999999999999,34.98,1.0,0.0072,0.0161 (0.0508),1.13,1.14,39.35,243467,117727,46330.0,71397.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20441,"Question asked: ""Have you ever had a time in your life lasting two weeks or more when you lost interest in most things like hobbies, work, or activities that usually give you pleasure?"""
20417,"Tense, sore, or aching muscles during worst period of anxiety",both_sexes,0.0533,0.0133,0.0861,0.0215,4.51,1.0,0.0062,0.0267 (0.1423),1.05,1.04,39.03,327893,33301,12996.0,20305.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20417,"Question asked: ""When you were worried or anxious, were you also: Having tense, sore, or aching muscles?"" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months."
1920,Mood swings,both_sexes,0.0526,0.0029,0.0831,0.0046,73.1,1.08,0.0099,0.1544 (0.0195),1.39,1.51,45.09,8590,352604,158982.0,193622.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1920,"ACE touchscreen question ""Does your mood often go up and down?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
22126,Doctor diagnosed hayfever or allergic rhinitis,both_sexes,0.0522,0.0072,0.1007,0.0138,12.68,1.03,0.008,0.2259 (0.0537),1.11,1.15,22.77,269407,91787,20904.0,70883.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22126,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""hayfever or allergic rhinitis"" was one of the options listed."
6152_9,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema",both_sexes,0.0519,0.0041,0.0994,0.0079,36.3,1.12,0.0129,0.2222 (0.0231),1.33,1.56,23.13,667,360527,83407.0,277120.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152,"ACE touchscreen question ""Has a doctor ever told you that you have had any of the following conditions? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you do not know if you have had any of the listed conditions, enter None of the above. You can check this with an interviewer later in the visit. "
137,Number of treatments/medications taken,both_sexes,0.0517,0.0026,0.0517,0.0026,87.56,1.09,0.0092,0.1687 (0.018),1.41,1.51,,53,361141,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=137,Number of treatments (medications) entered
1757,Facial ageing,both_sexes,0.0514,0.0026,0.0514,0.0026,86.56,1.09,0.0092,0.1892 (0.0191),1.37,1.48,,30785,330409,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1757,"ACE touchscreen question ""Do people say that you look:"""
2644,"Light smokers, at least 100 smokes in lifetime",both_sexes,0.0513,0.0057,0.081,0.009000000000000001,18.95,1.03,0.0067,0.2173 (0.0451),1.13,1.15,45.61,264173,97021,44253.0,52768.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2644,"ACE touchscreen question ""In your lifetime, have you smoked a total of at least 100 times?"" ~F2644~ was collected from participants who indicated they smoked occasionally or Just tried once or twice, as defined by their answers to ~F1249~"
1940,Irritability,both_sexes,0.0512,0.0036,0.0911,0.0065,45.48,1.05,0.0095,0.1127 (0.0201),1.35,1.47,28.06,15963,345231,96862.0,248369.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1940,"ACE touchscreen question ""Are you an irritable person?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
6153_100,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above",female,0.0509,0.0043,0.0875,0.0074,31.9,1.05,0.0092,0.1823 (0.0325),1.22,1.28,69.03,1028,193146,133338.0,59808.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153,"ACE touchscreen question ""Do you regularly take any of the following medications? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit. "
5119_irnt,3mm cylindrical power (left),both_sexes,0.0504,0.0068,0.0504,0.0068,13.21,1.03,0.0072,0.2575 (0.0577),1.11,1.12,,285796,75398,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5119,This is the cylindrical power of keratometry results taken at 3mm for the left eye (0 indicates none)
30510_irnt,Creatinine (enzymatic) in urine,both_sexes,0.0503,0.0027,0.0503,0.0027,77.03,1.07,0.01,0.145 (0.0215),1.38,1.47,,10382,350812,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30510,Measured by enzymatic analysis on a Beckman Coulter AU5400.
1970,Nervous feelings,both_sexes,0.0496,0.0032,0.0943,0.0061,53.76,1.07,0.0104,0.1413 (0.0218),1.36,1.48,23.63,9365,351829,83120.0,268709.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1970,"ACE touchscreen question ""Would you call yourself a nervous person?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
2867_irnt,Age started smoking in former smokers,both_sexes,0.0496,0.0059,0.0496,0.0059,16.68,1.03,0.006999999999999999,0.2523 (0.0521),1.13,1.13,,272296,88898,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2867,"ACE touchscreen question ""How old were you when you first started smoking on most days?"" The following checks were performed: If answer If answer > Participants age then rejected If answer ~F2867~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~"
1200,Sleeplessness / insomnia,both_sexes,0.0494,0.0025,0.0494,0.0025,86.48,1.07,0.0092,0.1421 (0.0196),1.38,1.47,,456,360738,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1200,"ACE touchscreen question ""Do you have trouble falling asleep at night or do you wake up in the middle of the night?"" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks. "
2385,Relative age voice broke,male,0.0492,0.0047,0.0492,0.0047,25.22,1.05,0.0083,0.2013 (0.0367),1.18,1.22,,12561,154459,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2385,"ACE touchscreen question ""When did your voice break?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. "
20499,Ever sought or received professional help for mental distress,both_sexes,0.0491,0.0047,0.0793,0.0076,25.12,1.03,0.0074,0.1789 (0.0455),1.15,1.16,39.11,243517,117677,46020.0,71657.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20499,"Question asked: ""In your life, did you seek or receive help from a professional (medical doctor, psychologist, social worker, counsellor, nurse, clergy, or other helping professional) for mental distress, psychological problems or unusual experiences?"""
4526,Happiness,both_sexes,0.0488,0.0044,0.0488,0.0044,28.16,1.02,0.0075,0.1258 (0.0494),1.14,1.15,,241659,119535,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4526,"ACE touchscreen question ""In general how happy are you?"""
20536_0,Weight change during worst episode of depression: Stayed about the same or was on a diet,both_sexes,0.0484,0.0072,0.0775,0.0115,11.05,0.99,0.0064,0,1.05,1.06,40.62,304623,56571,22981.0,33590.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20536,"Question asked: ""Did you gain or lose weight without trying, or did you stay about the same weight?"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
5104_irnt,3mm strong meridian angle (left),both_sexes,0.0483,0.0069,0.0483,0.0069,11.89,1.02,0.0073,0.2162 (0.0635),1.1,1.11,,285796,75398,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5104,This is the strong meridian angle of keratometry results taken at 3mm for the left eye (blank indicates no cylinder power)
2000,Worry too long after embarrassment,both_sexes,0.0479,0.003,0.0754,0.0047,56.96,1.07,0.0102,0.162 (0.0223),1.36,1.46,47.7,14667,346527,165310.0,181217.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2000,"ACE touchscreen question ""Do you worry too long after an embarrassing experience?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
4968,FI4 : positional arithmetic,both_sexes,0.0479,0.0049,0.1123,0.0115,22.14,1.03,0.0074,0.1764 (0.0468),1.15,1.16,85.01,245504,115690,98344.0,17346.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4968,"ACE touchscreen question ""11 12 13 14 15 16 17 18 Divide the sixth number to the right of twelve by three. Is the answer?"". Part 4 of Fluid Intelligence test. Offered choice from 5, 6, 7, or 8."
4598,Ever depressed for a whole week,both_sexes,0.0478,0.0049,0.0753,0.0077,22.06,1.01,0.0073,0.0605 (0.0522),1.11,1.14,53.62,243489,117705,63119.0,54586.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4598,"ACE touchscreen question ""Looking back over your life, have you ever had a time when you were feeling depressed or down for at least a whole week?"""
135,Number of self-reported non-cancer illnesses,male,0.0473,0.004,0.0473,0.004,31.84,1.04,0.0081,0.1868 (0.0356),1.2,1.23,,32,166988,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=135,Number of non-cancer illnesses entered
22146_irnt,Age hayfever or allergic rhinitis diagnosed by doctor,both_sexes,0.0471,0.0198,0.0471,0.0198,2.06,1.02,0.006,0.392 (0.122),1.04,1.05,,340290,20904,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22146,User was asked the age at which doctor diagnosed hayfever or allergic rhinitis
1950,Sensitivity / hurt feelings,both_sexes,0.0471,0.0031,0.0744,0.0049,51.71,1.07,0.0099,0.1584 (0.022),1.35,1.45,55.51,10373,350821,194755.0,156066.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1950,"ACE touchscreen question ""Are your feelings easily hurt?"" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question "
2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",both_sexes,0.047,0.0027,0.0782,0.0046,67.44,1.06,0.0097,0.142 (0.0223),1.35,1.44,34.44,2501,358693,123528.0,235165.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2090,"ACE touchscreen question ""Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?"""
20416,Frequency of consuming six or more units of alcohol,both_sexes,0.047,0.005,0.047,0.005,20.56,1.02,0.0067,0.1356 (0.0496),1.12,1.14,,252709,108485,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20416,"Question asked: ""In the next two questions, a ""drink"" is defined as one unit of alcohol. How often do you have six or more drinks on one occasion?"" Question was asked when ~F20414~ was not Never."
